,compound_ID,smile
0,D06238,CC1=C(C=CC2=C1C(=NC(=N2)N)N)CNC3=CC(=C(C(=C3)OC)OC)OC
1,D05458,CC(C)(CC1=CC=CC=C1)N
2,D05407,C1=NC2=C(N1CCC(CO)CO)N=C(NC2=O)N
3,D05353,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC
4,D05341,CCCCCCCCCCCCCCCC(=O)O
5,D04983,CSCCC(C(=O)O)N
6,D04966,CN(C)C(=N)N=C(N)N
7,D04292,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O
8,D04197,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O
9,D04092,CCC(CC1=CNC2=CC=CC=C21)N.CC(=O)O
10,D04031,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC=C5[N+](=O)[O-])N=C4C3=C2)O
11,D04029,CN(C)CC1=NC=CN1C2=CC(=C(C=C2)NC(=O)C3=CC(=NN3C4=CC5=C(C=C4)ON=C5N)C(F)(F)F)F.Cl
12,D04028,CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O
13,D04025,C1=CC(=CC=C1CCCCN2C=CN=N2)OCC3=COC(=N3)C=CC4=CC=C(C=C4)C(F)(F)F
14,D04024,CC1=CC=C(C=C1)S(=O)(=O)O.CC1=CC=C(C=C1)S(=O)(=O)O.CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl.O
15,D04023,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)C#C)OCCOC.Cl
16,D03899,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
17,D03882,CC1=C(C(=O)C(=C(C1=O)C)CCCCC#CCCCC#CCO)C
18,D03845,CC(C)CNC1CCS(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N.Cl
19,D03829,CCC(CC)C(C1C(CC(C1O)C(=O)O)N=C(N)N)NC(=O)C.O.O.O
20,D03828,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)NC(=N3)N)C(=O)NC(CCC(=O)[O-])C(=O)[O-].[Na+].[Na+]
21,D03826,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C.CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C.OS(=O)(=O)O
22,D03823,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)N4CCC5=CC=CC=C5C4)C)C
23,D03822,CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C
24,D03816,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)[O-])O)O)C.CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)[O-])O)O)C.[Ca+2]
25,D03807,C1=CC2=C(C=C1Cl)N(C(=O)N(C2=O)CC3=C(C=C(C=C3)Br)F)CC(=O)O
26,D03806,C1=CC=C2C(=C1)C(=NN(C2=O)CC3=C(C=C(C=C3)Br)F)CC(=O)O
27,D03805,C1C(=O)NC(=O)C12C3=C(C=CC(=C3)F)C(=O)N(C2=O)CC4=C(C=C(C=C4)Br)F
28,D03803,C1=CC=C2C(=C1)C(=CN2CC(=O)O)CC3=NC4=C(C(=CC(=C4S3)F)F)F.O
29,D03798,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O
30,D03788,CC(C)(C)C(=O)OC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NCC(=O)O
31,D03787,C1CC2=C(CC1N3C(=CNC3=S)CN)C=C(C=C2F)F.O.Cl
32,D03784,C1=CC(=CC(=C1)Cl)C(C2=CC3=C(C=C2)N=CN3)N4C=CN=C4.Cl
33,D03781,C1=CC(=CC(=C1)Cl)C(C2=CC3=C(C=C2)N=CN3)N4C=CN=C4.C1=CC(=CC(=C1)Cl)C(C2=CC3=C(C=C2)N=CN3)N4C=CN=C4.C(=CC(=O)O)C(=O)O.C(=CC(=O)O)C(=O)O.C(=CC(=O)O)C(=O)O
34,D03778,C1CC(N2C=NC=C2C1)C3=CC=C(C=C3)C#N.C1CC(N2C=NC=C2C1)C3=CC=C(C=C3)C#N.O.Cl.Cl
35,D03776,CC(CS)C(=O)N1CC(CC1C(=O)O)SC2=CC=CC=C2.C(CC(C(=O)O)N)CN=C(N)N
36,D03775,CC(C(=O)N1CC2(CC1C(=O)O)SCCS2)NC(CCC3=CC=CC=C3)C(=O)O
37,D03773,CC(C(=O)N1CC2=CC=CC=C2CC1C(=O)O)NC(CCC3=CC=CC=C3)C(=O)O
38,D03772,C1CCC(CC1)C2CC(N(C2)C(=O)CP(=O)(CCCCC3=CC=CC=C3)O)C(=O)O
39,D03769,CC(C(=O)N1CCCC1C(=O)O)NC(CCC2=CC=CC=C2)C(=O)O.O.O
40,D03767,CC(CSC(=O)C1=CC=CC=C1)C(=O)N2CC(CC2C(=O)[O-])SC3=CC=CC=C3.CC(CSC(=O)C1=CC=CC=C1)C(=O)N2CC(CC2C(=O)[O-])SC3=CC=CC=C3.[Ca+2]
41,D03765,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3(CC2C(=O)O)SCCS3.Cl
42,D03763,CC(CSC(=O)C(C)(C)C)C(=O)N(CC(=O)O)C1CCCC1
43,D03760,CCOC(=O)C(C)CC(C)C(=O)N1C(CC2=CC=CC=C21)C(=O)O
44,D03758,C1CC2=CC=CC=C2N(C(=O)C1NC(CCCCN)C(=O)O)CC(=O)O
45,D03756,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCCC3CC2C(=O)O.Cl
46,D03753,CCCC(C(=O)OCC)NC(C)C(=O)N1C2CCCCC2CC1C(=O)O
47,D03752,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3=CC=CC=C3CC2C(=O)O
48,D03751,C1CN(CCC1CCC2=NOC3=C2C=C4CC(=O)NC4=C3)CC5=CC=CC=C5.C(=CC(=O)O)C(=O)O
49,D03745,CC(C)CC(C(C(CC1CCCCC1)NC(=O)C(CC2=CSC=N2)NC(=O)C(CC3=CC=CC=C3)CS(=O)(=O)N4CCN(CC4)C)O)O.Cl
50,D03743,CC(C)OC(=O)C(C(CC1CCCCC1)NC(=O)C(CSC)NC(=O)C(CC2=CC=CC=C2)NC(=O)N3CCOCC3)O
51,D03741,CCC(C)C(C(=O)NCC1=CC=CC=N1)NC(=O)C(CC(C(CC(C)C)NC(=O)C(CC2=CN=CN2)N(C)C(=O)C(CC3=CC=CC=C3)NC(=O)C4CCCN4C(=O)OC(C)(C)C)O)C(C)C
52,D03738,CC(C)CC(C(C(CC1CCCCC1)NC(=O)C(CC2=CN=CN2)NC(=O)C(CC3=CC=C(C=C3)OC)NC(=O)CC(C)(C)N)O)O
53,D03736,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5
54,D03735,CCCCCCCN(CCCCCSC1=NC(=C(N1)C2=CC=CC=C2)C3=CC=CC=C3)C(=O)NC4=C(C=C(C=C4)F)F
55,D03734,CCCCCCN(CC1=CC=C(C=C1)CC(C)(C)C)C(=C2C(=O)OC(OC2=O)(C)C)NC3=CC(=C(C(=C3)C(C)(C)C)O)C(C)(C)C
56,D03733,C1=CC(=CC=C1CCC(=CF)CN)F.Cl
57,D03731,CC(CC1=CC=CC=C1)N(C)CC#C
58,D03728,C1CC(CN(C1)C(=N)N)CNC(=O)CC(C(=O)N(CC(=O)O)C2CC2)NS(=O)(=O)C3=CC4=CC=CC=C4C=C3.O
59,D03722,CNC(CC1=CC=CC=C1)C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C=O.OS(=O)(=O)O
60,D03720,CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N
61,D03717,CCC(=O)[N-]S(=O)(=O)C1=CC=C(C=C1)C2=C(ON=C2C3=CC=CC=C3)C.[Na+]
62,D03716,CCC(=O)NS(=O)(=O)C1=CC=C(C=C1)C2=C(ON=C2C3=CC=CC=C3)C
63,D03714,CC1=CC(=C(C=C1)NC2=C(C=CC=C2Cl)F)CC(=O)O
64,D03712,CC1(C(=C(C(=O)O1)OCC2CC2)C3=CC=C(C=C3)S(=O)(=O)C)C
65,D03710,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C
66,D03689,COC1=C(C=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)F)F
67,D03670,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O
68,D03643,CC1=C(C=CC(=C1)C2=C(C(CC(C2)(C)C)(C)C)C=CC3CC(CC(=O)O3)O)F
69,D03601,CC1CC(CC(C1)(C)C)OC(=O)C2CCC(=O)N2
70,D03440,C1CC(N(C1)C(=O)C(CCCCN)OP(=O)(CCCCC2=CC=CC=C2)O)C(=O)O
71,D03433,CCCC(=O)OC1CN2CCC(C2C(C1O)O)O.Cl
72,D03365,CN1CCCC1C2=CN=CC=C2
73,D03350,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4.Cl.Cl
74,D03260,CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C.O.O.O.Cl
75,D03252,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC
76,D03218,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4
77,D03217,COC1=C(C=C(C=C1)CNC2=NC(=NC=C2C(=O)NCC3=NC=CC=N3)N4CCCC4CO)Cl
78,D03208,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N
79,D03115,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3.C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3.O.Cl.Cl
80,D03077,C1CC2=CC=CC=C2N(C(=O)C1NC(CCC3=CC=CC=C3)C(=O)O)CC(=O)O
81,D03034,C(CCCC(=O)O)CCCC(=O)O
82,D03012,CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)CC2=C(C=C(C=C2C(C)C)C(C)C)C(C)C
83,D02880,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O.Cl
84,D02835,C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CC(=O)[O-].[Na+]
85,D02769,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N
86,D02756,CCC1(CC(C2=C(C3=C(C=C2C1C(=O)OC)C(=O)C4=C(C3=O)C(=CC=C4)O)O)OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)OC7CCC(=O)C(O7)C)O)N(C)C)O
87,D02731,CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C.Cl.Cl
88,D02729,CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C=C2)OC)OC.Cl
89,D02709,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N
90,D02698,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)OC6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O
91,D02671,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C
92,D02655,CCN1C2=NC=C(C(=C2C=N1)NN=C(C)C)C(=O)OCC.Cl
93,D02581,COCC1CN(C(=O)O1)C2=CC=C(C=C2)OCC3=CC(=CC=C3)C#N
94,D02580,CC1=CC(=NO1)C(=O)NNCC2=CC=CC=C2
95,D02579,CC(C)NNC(=O)C1=CC=NC=C1
96,D02566,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24
97,D02564,CN(CC#C)CC1=CC=CC=C1.Cl
98,D02563,COCC1CN(C(=O)O1)C2=CC=C(C=C2)OCCC(C(F)(F)F)O
99,D02562,CS(=O)(=O)O.C#CCNC1CCC2=CC=CC=C12
100,D02561,C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl
101,D02560,COC1=CC(=C2C(=C1)C=C(O2)C3CCNCC3)Br
102,D02559,CC1=CC(=CC=C1)N2CC(OC2=O)CO
103,D02558,CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C.C(C(C(=O)O)O)(C(=O)O)O
104,D02556,CC(C1=NC(=CS1)C2=CC=C(C=C2)C#N)C(CN3C=NC=N3)(C4=C(C=C(C=C4)F)F)O
105,D02487,CC(C)N=C(N)N=C(N)NC1=CC=C(C=C1)Cl.Cl
106,D02451,C1CC(N2C=NC=C2C1)C3=CC=C(C=C3)C#N.Cl
107,D02441,CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N
108,D02418,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C.C1=CC=C(C(=C1)C(=O)O)O
109,D02375,CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21
110,D02368,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
111,D02356,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
112,D02355,CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)O
113,D02350,CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O
114,D02342,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
115,D02341,CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl
116,D02335,CC1=CC(=O)C2=CC=CC=C2C1=O
117,D02333,CC1=CC=C(N1)C(=O)OC2C(C(OC(C2OC)(C)C)OC3=C(C4=C(C=C3)C(=C(C(=O)O4)NC(=O)C5=CNC(=C5C)C(=O)NC6=C(C7=C(C(=C(C=C7)OC8C(C(C(C(O8)(C)C)OC)OC(=O)C9=CC=C(N9)C)O)C)OC6=O)O)O)C)O
118,D02328,C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)C(F)(F)F)CC(=O)O
119,D02323,CN(CC(=O)O)C(=S)C1=CC=CC2=C1C=CC(=C2C(F)(F)F)OC
120,D02321,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42
121,D02315,CCCCCCCCC=CCCCCCCCC(=O)O
122,D02308,C(=CC(=O)O)C(=O)O
123,D02304,C(CCN)CC(C(=O)O)N
124,D02290,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)[O-].O.O.[Na+]
125,D02289,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)CC4)C)O)C)C(=O)C
126,D02267,C(=O)([O-])P(=O)([O-])[O-].O.O.O.O.O.O.[Na+].[Na+].[Na+]
127,D02258,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.O.O.O.[Ca+2]
128,D02229,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
129,D02214,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl
130,D02194,CC1(CC1C(=O)NC(=CCCCCSCC(C(=O)O)N)C(=O)[O-])C.[Na+]
131,D02193,CCOP(=O)(OCC)SCC[N+](C)(C)C.[I-]
132,D02176,C[N+](C)(C)CC(CC(=O)[O-])O
133,D02173,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O.Br
134,D02168,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O.Cl
135,D02166,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO.Cl.Cl
136,D02115,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)O.[Na+]
137,D02110,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)[O-].O.O.O.[Na+]
138,D02068,C1CCC2=NC3=CC=CC=C3C(=C2C1)N.Cl
139,D02042,CC1=C(C=C(C(=O)N1)C#N)C2=CN3C=CN=C3C=C2.O.Cl
140,D02017,CN1C(=C2C(=NC=N2)N(C1=O)C)[O-].C[N+](C)(C)CCO
141,D02008,CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36
142,D01984,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C([N-]2)C=CC(=C3)OC.CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C([N-]2)C=CC(=C3)OC.O.O.O.[Mg+2]
143,D01981,CCOC(=O)CNC(C1CCCCC1)C(=O)N2CCC2C(=O)NCC3=CC=C(C=C3)C(=NO)N
144,D01977,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
145,D01974,CC1=NC(=C(O1)C2=CC(=C(C=C2)S(=O)(=O)N)F)C3CCCCC3
146,D01973,CN1CCCC1CC2=CNC3=C2C=C(C=C3)CCS(=O)(=O)C4=CC=CC=C4.Br
147,D01968,C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O.O
148,D01966,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O
149,D01918,CC(C)(C)C(=O)OC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NCC(=O)[O-].O.O.O.O.[Na+]
150,D01915,CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C.CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C.[Ca+2]
151,D01911,CCC1(CC(C2=C(C3=C(C=C2C1C(=O)OC)C(=O)C4=C(C3=O)C(=CC=C4)O)O)OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)OC7CCC(=O)C(O7)C)O)N(C)C)O.Cl
152,D01907,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)COP(=O)(O)O)O)O)F)N
153,D01900,CC(CSC(=O)C)C(=O)N1CCCC1C(=O)NC(CC2=CC=CC=C2)C(=O)O
154,D01888,CC(CCC1=CC2=C(C=C1)OCO2)NN.Cl
155,D01885,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)OC6CCCCO6
156,D01866,CN1C(=C(C2=C(S1(=O)=O)C=C(S2)Cl)O)C(=O)NC3=CC=CC=N3
157,D01862,C1CC1C2=NC3=CC=CC=C3C(=C2C=CC(CC(CC(=O)[O-])O)O)C4=CC=C(C=C4)F.C1CC1C2=NC3=CC=CC=C3C(=C2C=CC(CC(CC(=O)[O-])O)O)C4=CC=C(C=C4)F.[Ca+2]
158,D01844,COC1C(C(C(C(O1)COS(=O)(=O)[O-])OC2C(C(C(C(O2)C(=O)[O-])OC3C(C(C(C(O3)COS(=O)(=O)[O-])OC4C(C(C(C(O4)C(=O)[O-])OC5C(C(C(C(O5)COS(=O)(=O)[O-])O)O)NS(=O)(=O)[O-])O)O)OS(=O)(=O)[O-])NS(=O)(=O)[O-])O)OS(=O)(=O)[O-])O)NS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]
159,D01842,C1C(OC2=C(C13C(=O)NC(=O)N3)C=C(C=C2)F)C(=O)N
160,D01840,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3.Cl
161,D01828,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N
162,D01825,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)F)C
163,D01811,C1=CC=C(C(=C1)C(=O)N)O
164,D01767,CN1C(=C(C2=C(S1(=O)=O)C=CS2)O)C(=O)NC3=CC=CC=N3
165,D01765,CCCN(CCC)C(=O)C(CCC(=O)OCCCN1CCN(CC1)CCOC(=O)CC2=C(N(C3=C2C=C(C=C3)OC)C(=O)C4=CC=C(C=C4)Cl)C)NC(=O)C5=CC=CC=C5.C(=CC(=O)O)C(=O)O.C(=CC(=O)O)C(=O)O
166,D01747,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O.Cl
167,D01718,COC1=CC=C(C=C1)C2=C(ON=C2C3=CC=C(C=C3)OC)CC(=O)O
168,D01715,CCCCCOC1=C(C=C(C=C1)C2C(=O)NC(=O)S2)OCC
169,D01712,CC(=O)[O-].CN1C2=C(C(=O)N(C1=O)C)NC=N2.[Na+]
170,D01709,CC(C1=CC=C(C=C1)CC2CCCC2=O)C(=O)[O-].O.O.[Na+]
171,D01704,COC1=C(C=C(C=C1)C2(CCC(CC2)C(=O)O)C#N)OC3CCCC3
172,D01690,COC1=C(C=C(C=C1)C(=O)N2CCN(CC2)C3=CC4=C(C=C3)NC(=O)CC4)OC
173,D01688,CC(=CC1=CC=CC=C1)C=C2C(=O)N(C(=S)S2)CC(=O)O
174,D01667,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N(CC(=O)O)C2CC3=CC=CC=C3C2.Cl
175,D01665,C1C(C(C(C(C1(CO)O)O)O)O)NC(CO)CO
176,D01582,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O
177,D01578,CC(C1=CC2=C(C=C1)OC3=C(C2)C=CC=N3)C(=O)O
178,D01565,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC=C(C)CCC=C(C)CCC=C(C)C
179,D01549,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C(CN(C2=O)C)C(=O)O.Cl
180,D01547,CC(C1=CC2=C(C=C1)SC3=CC=CC=C3C(=O)C2)C(=O)O
181,D01513,CC(C1=CC=C(C=C1)NCC(=C)C)C(=O)O
182,D01475,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)OC(C)OC(=O)C
183,D01441,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O
184,D01432,CCC1(C2=C(COC1=O)C(=O)N3CC4=C5C(CCC6=C5C(=CC(=C6C)F)N=C4C3=C2)N)O.CS(=O)(=O)O.O.O
185,D01425,CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O
186,D01397,CCOC(=O)OC(C)OC1=C(N(S(=O)(=O)C2=CC=CC=C21)C)C(=O)NC3=CC=CC=N3
187,D01370,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O
188,D01367,CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O
189,D01364,CC1=CC(=O)N(C(=C1)C2CCCCC2)O.C(CO)N
190,D01346,C1=CC=C(C=C1)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)NC3=CC=C(C=C3)C(=O)O
191,D01332,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1.C(=CC(=O)O)C(=O)O
192,D01325,CC(C1=CC=C(S1)C(=O)C2=CC=CC=C2)C(=O)O
193,D01276,CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC.OS(=O)(=O)O
194,D01275,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl
195,D01264,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O.Cl
196,D01256,C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl
197,D01240,CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CC(C5(C4(CCC5C6=CC(=O)OC6)O)C)O)C)O)OC7CC(C(C(O7)C)OC8CC(C(C(O8)C)OC9C(C(C(C(O9)CO)O)O)O)O)O
198,D01228,C[N+]1=CC=CC(=C1)OC(=O)N(C)CCCCCCN(C)C(=O)OC2=C[N+](=CC=C2)C.[Br-].[Br-]
